Artist,Track,Energy,Valence,Url_youtube
Gorillaz,Feel Good Inc.,0.705,0.772,https://www.youtube.com/watch?v=HyHNuVaZJ-k
Gorillaz,Rhinestone Eyes,0.703,0.852,https://www.youtube.com/watch?v=yYDmaexVHic
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.923,0.551,https://www.youtube.com/watch?v=qJa-VFwPpYA
Gorillaz,On Melancholy Hill,0.739,0.578,https://www.youtube.com/watch?v=04mfKJWDSzI
Gorillaz,Clint Eastwood,0.694,0.525,https://www.youtube.com/watch?v=1V_xRb0x9aw
Gorillaz,DARE,0.891,0.966,https://www.youtube.com/watch?v=uAOR6ib95kQ
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.897,0.358,https://www.youtube.com/watch?v=BONNm0F7Tto
Gorillaz,She's My Collar (feat. Kali Uchis),0.815,0.462,https://www.youtube.com/watch?v=f8NwLXYIHS4
Gorillaz,Cracker Island (feat. Thundercat),0.913,0.643,https://www.youtube.com/watch?v=S03T47hapAc
Gorillaz,Dirty Harry,0.877,0.865,https://www.youtube.com/watch?v=cLnkQAeMbIM
Red Hot Chili Peppers,Californication,0.767,0.328,https://www.youtube.com/watch?v=YlUKcNNmywk
Red Hot Chili Peppers,Under the Bridge,0.345,0.458,https://www.youtube.com/watch?v=GLvohMXgcBo
Red Hot Chili Peppers,Can't Stop,0.938,0.875,https://www.youtube.com/watch?v=8DyziWtkfBw
Red Hot Chili Peppers,Scar Tissue,0.717,0.547,https://www.youtube.com/watch?v=mzJj5-lubeM
Red Hot Chili Peppers,Otherside,0.795,0.513,https://www.youtube.com/watch?v=rn_YodiJO6k
Red Hot Chili Peppers,Snow (Hey Oh),0.9,0.599,https://www.youtube.com/watch?v=yuFI5KSPAt4
Red Hot Chili Peppers,Dani California,0.913,0.73,https://www.youtube.com/watch?v=Sb5aq5HcS1A
Red Hot Chili Peppers,By the Way,0.97,0.198,https://www.youtube.com/watch?v=JnfyjwChuNU
Red Hot Chili Peppers,Give It Away,0.936,0.776,https://www.youtube.com/watch?v=Mr_uHJPUlO8
Red Hot Chili Peppers,Dark Necessities,0.742,0.197,https://www.youtube.com/watch?v=Q0oIoR9mLwc
50 Cent,In Da Club,0.72,0.805,https://www.youtube.com/watch?v=5qm8PH4xAss
50 Cent,Candy Shop,0.574,0.755,https://www.youtube.com/watch?v=SRcnnId15BA
50 Cent,Just A Lil Bit,0.692,0.527,https://www.youtube.com/watch?v=GllEDACUbNo
50 Cent,P.I.M.P.,0.758,0.889,https://www.youtube.com/watch?v=UDApZhXTpH8
50 Cent,Many Men (Wish Death),0.826,0.416,https://www.youtube.com/watch?v=5D3crqpClPY
50 Cent,Disco Inferno,0.659,0.71,https://www.youtube.com/watch?v=GNqYWkiBHHw
50 Cent,21 Questions,0.807,0.908,https://www.youtube.com/watch?v=cDMhlvbOFaM
50 Cent,Is This Love ('09) (feat. 50 Cent),0.776,0.659,https://www.youtube.com/watch?v=Zl64MRAqQxk
50 Cent,If I Can't,0.631,0.838,https://www.youtube.com/watch?v=_vUC0-V2k1E
50 Cent,Best Friend - Remix,0.64,0.574,https://www.youtube.com/watch?v=UQNLDwQYDDg
Metallica,Enter Sandman (Remastered),0.834,0.621,https://www.youtube.com/watch?v=CD-E-LDc384
Metallica,Nothing Else Matters (Remastered),0.394,0.17,https://www.youtube.com/watch?v=tAGnKpE4NCI
Metallica,Master of Puppets (Remastered),0.828,0.562,https://www.youtube.com/watch?v=E0ozmU9cJDg
Metallica,Whiskey In The Jar,0.972,0.532,https://www.youtube.com/watch?v=wsrvmNtWU4E
Metallica,The Unforgiven (Remastered),0.583,0.207,https://www.youtube.com/watch?v=Ckom3gf57Yw
Metallica,One (Remastered),0.687,0.426,https://www.youtube.com/watch?v=oTS5cPTqFWM
Metallica,For Whom The Bell Tolls (Remastered),0.86,0.258,https://www.youtube.com/watch?v=B_HSa1dEL9s
Metallica,Lux Æterna,0.996,0.188,https://www.youtube.com/watch?v=_u-7rWKnVVo
Metallica,Sad But True (Remastered),0.876,0.453,https://www.youtube.com/watch?v=A8MO7fkZc5o
Metallica,Screaming Suicide,0.972,0.282,https://www.youtube.com/watch?v=ZDyDpdFZHBo
Coldplay,Yellow,0.661,0.285,https://www.youtube.com/watch?v=yKNxeF4KMsY
Coldplay,Viva La Vida,0.617,0.417,https://www.youtube.com/watch?v=dvgZkm1xWPE
Coldplay,Sparks,0.268,0.165,https://www.youtube.com/watch?v=1aokooixKIo
Coldplay,Something Just Like This,0.635,0.446,https://www.youtube.com/watch?v=FM7MFYoylVs
Coldplay,The Scientist,0.442,0.213,https://www.youtube.com/watch?v=RB-RcX5DS5A
Coldplay,A Sky Full of Stars,0.675,0.162,https://www.youtube.com/watch?v=VPRjCeoBqrI
Coldplay,Paradise,0.585,0.212,https://www.youtube.com/watch?v=1G4isv_Fylg
Coldplay,Hymn for the Weekend,0.693,0.412,https://www.youtube.com/watch?v=YykjpeuMNEk
Coldplay,My Universe,0.711,0.47,https://www.youtube.com/watch?v=3YqPKLZF_WU
Coldplay,Fix You,0.417,0.124,https://www.youtube.com/watch?v=k4V3Mo61fJM
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.811,0.862,https://www.youtube.com/watch?v=CCHdMIEGaaM
Daft Punk,One More Time,0.697,0.476,https://www.youtube.com/watch?v=FGBhQbmPwH8
Daft Punk,Instant Crush (feat. Julian Casablancas),0.585,0.518,https://www.youtube.com/watch?v=a5uQMwRMHcs
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.793,0.863,https://www.youtube.com/watch?v=CCHdMIEGaaM
Daft Punk,Around the World,0.795,0.841,https://www.youtube.com/watch?v=K0HSD_i2DvA
Daft Punk,"Harder, Better, Faster, Stronger",0.716,0.692,https://www.youtube.com/watch?v=gAjR4_CbPpQ
Daft Punk,Something About Us,0.475,0.384,https://www.youtube.com/watch?v=sOS9aOIXPEk
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.659,0.674,https://www.youtube.com/watch?v=NF-kLy44Hls
Daft Punk,Veridis Quo,0.687,0.12,https://www.youtube.com/watch?v=HhZaHf8RP6g
Daft Punk,Digital Love,0.664,0.53,https://www.youtube.com/watch?v=FxzBvqY5PP0
Linkin Park,In the End,0.864,0.4,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park,Numb,0.863,0.243,https://www.youtube.com/watch?v=kXYiU_JCYtU
Linkin Park,What I've Done,0.93,0.287,https://www.youtube.com/watch?v=8sgycukafqQ
Linkin Park,Numb / Encore,0.793,0.751,https://www.youtube.com/watch?v=DLlF2FMv968
Linkin Park,One Step Closer,0.969,0.538,https://www.youtube.com/watch?v=4qlCC1GOwFw
Linkin Park,Faint,0.978,0.594,https://www.youtube.com/watch?v=LYU-8IFcDPw
Linkin Park,Bleed It Out,0.967,0.596,https://www.youtube.com/watch?v=OnuuYcqhzCE
Linkin Park,Papercut,0.939,0.661,https://www.youtube.com/watch?v=vjVkXlxsO8Q
Linkin Park,Crawling,0.702,0.299,https://www.youtube.com/watch?v=Gd9OhYroLN0
Linkin Park,BURN IT DOWN,0.972,0.585,https://www.youtube.com/watch?v=dxytyRy-O1k
Radiohead,Creep,0.43,0.104,https://www.youtube.com/watch?v=XFkzRNyygfk
Radiohead,No Surprises,0.393,0.118,https://www.youtube.com/watch?v=u5CVsCnxyXg
Radiohead,Karma Police,0.501,0.324,https://www.youtube.com/watch?v=1uYWYWPc9HU
Radiohead,High and Dry,0.383,0.35,https://www.youtube.com/watch?v=AG6H5i1x5A0
Radiohead,Exit Music (For A Film),0.276,0.195,https://www.youtube.com/watch?v=Bf01riuiJWA
Radiohead,Weird Fishes/ Arpeggi,0.61,0.199,https://www.youtube.com/watch?v=TNRCvG9YtYI
Radiohead,Jigsaw Falling Into Place,0.832,0.807,https://www.youtube.com/watch?v=GoLJJRIWCLU
Radiohead,Fake Plastic Trees,0.229,0.135,https://www.youtube.com/watch?v=n5h0qHwNrHk
Radiohead,Just,0.767,0.359,https://www.youtube.com/watch?v=oIFLtNYI3Ls
Radiohead,Nude,0.342,0.167,https://www.youtube.com/watch?v=BbWBRnDK_AE
AC/DC,Highway to Hell,0.913,0.423,https://www.youtube.com/watch?v=l482T0yNkeo
AC/DC,Thunderstruck,0.89,0.259,https://www.youtube.com/watch?v=v2AC41dglnM
AC/DC,Back In Black,0.7,0.763,https://www.youtube.com/watch?v=pAgnJDJN4VA
AC/DC,You Shook Me All Night Long,0.767,0.755,https://www.youtube.com/watch?v=Lo2qQmj0_h4
AC/DC,T.N.T.,0.759,0.435,https://www.youtube.com/watch?v=44XYEeD1A1U
